,dataset,split,model_name_or_path,train_roc,val_roc,test_roc,prompt
0,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.5349262658621751,"Find molecules that can effectively inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP1A2, to help reduce the risk of adverse drug events and drug-drug interactions caused by CYP450-mediated metabolic pathways. Consider the various CYP450 inhibition mechanisms such as occupying active sites or weakening enzyme activity, while keeping in mind the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective to this assay?",train
1,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.4713053812289247,"Find molecules that can effectively inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C9, to help reduce the risk of adverse drug events and drug-drug interactions caused by CYP450-mediated metabolic pathways. Consider the various CYP450 inhibition mechanisms such as occupying active sites or weakening enzyme activity, while keeping in mind the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective to this assay?",train
2,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.521349223664594,"Find molecules that can effectively inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C19, to help reduce the risk of adverse drug events and drug-drug interactions caused by CYP450-mediated metabolic pathways. Consider the various CYP450 inhibition mechanisms such as occupying active sites or weakening enzyme activity, while keeping in mind the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective to this assay?",train
3,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.4835521792932765,"Find molecules that can effectively inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2D6, to help reduce the risk of adverse drug events and drug-drug interactions caused by CYP450-mediated metabolic pathways. Consider the various CYP450 inhibition mechanisms such as occupying active sites or weakening enzyme activity, while keeping in mind the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective to this assay?",train
4,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.5685574887231888,"Find molecules that can effectively inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP3A4, to help reduce the risk of adverse drug events and drug-drug interactions caused by CYP450-mediated metabolic pathways. Consider the various CYP450 inhibition mechanisms such as occupying active sites or weakening enzyme activity, while keeping in mind the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective to this assay?",train
5,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.5349262658621751,"Find molecules that can effectively inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP1A2, to help reduce the risk of adverse drug events and drug-drug interactions caused by CYP450-mediated metabolic pathways. Consider the various CYP450 inhibition mechanisms such as occupying active sites or weakening enzyme activity, while keeping in mind the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective to this assay?",train
6,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.4713053812289247,"Find molecules that can effectively inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C9, to help reduce the risk of adverse drug events and drug-drug interactions caused by CYP450-mediated metabolic pathways. Consider the various CYP450 inhibition mechanisms such as occupying active sites or weakening enzyme activity, while keeping in mind the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective to this assay?",train
7,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.521349223664594,"Find molecules that can effectively inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C19, to help reduce the risk of adverse drug events and drug-drug interactions caused by CYP450-mediated metabolic pathways. Consider the various CYP450 inhibition mechanisms such as occupying active sites or weakening enzyme activity, while keeping in mind the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective to this assay?",train
8,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.4835521792932765,"Find molecules that can effectively inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2D6, to help reduce the risk of adverse drug events and drug-drug interactions caused by CYP450-mediated metabolic pathways. Consider the various CYP450 inhibition mechanisms such as occupying active sites or weakening enzyme activity, while keeping in mind the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective to this assay?",train
9,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.5685574887231888,"Find molecules that can effectively inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP3A4, to help reduce the risk of adverse drug events and drug-drug interactions caused by CYP450-mediated metabolic pathways. Consider the various CYP450 inhibition mechanisms such as occupying active sites or weakening enzyme activity, while keeping in mind the potential for increased side effects due to elevated blood drug concentrations. Is this molecule effective to this assay?",train
