,dataset,split,model_name_or_path,train_roc,val_roc,test_roc,prompt,,,,,
0,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.646655923,"Identify molecules capable of inhibiting Cytochrome P450 (CYP450) enzymes, especially CYP1A2, to mitigate the risk of adverse drug reactions and interactions caused by CYP450-mediated metabolism. Focus on potential inhibition mechanisms like blocking active sites or reducing enzyme activity. Also, consider the potential for heightened side effects due to elevated drug levels in the bloodstream. Does this molecule show effectiveness in this assay?",train,,,,,
1,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.667325066,"Search for compounds that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP1A2, in order to minimize adverse drug events and drug interactions resulting from CYP450-mediated metabolism. Investigate the mechanisms of inhibition such as occupying enzyme active sites or diminishing enzyme function. Be mindful of the risk of increased side effects due to elevated drug concentrations. Is this molecule suitable for this assay?",train,,,,,
2,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.533254063,"Determine which molecules are effective at inhibiting Cytochrome P450 (CYP450) enzymes, with a specific focus on CYP1A2, to reduce the occurrence of adverse drug reactions and interactions. Examine inhibition mechanisms such as blocking active sites or suppressing enzyme activity. Keep in mind that elevated drug levels could lead to increased side effects. Does this molecule work well in this assay?",train,,,,,
3,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.732776806,"Investigate molecules that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP1A2, to lower the risk of negative drug interactions and adverse reactions caused by CYP450-driven metabolism. Consider inhibition mechanisms like occupying active sites or suppressing enzyme activity, while being cautious of potential side effects from higher blood concentrations of the drug. Does this molecule demonstrate effectiveness in the assay?",train,,,,,
4,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.511431903,"Identify compounds capable of inhibiting Cytochrome P450 (CYP450) enzymes, especially CYP1A2, in order to minimize adverse drug interactions and reduce the risk of harmful side effects linked to CYP450 metabolism. Investigate mechanisms such as active site binding or reducing enzyme function, while being aware of the potential for increased side effects due to higher drug concentrations. How effective is this molecule in the assay?",train,,,,,
5,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.626252105,"Search for molecules that can inhibit Cytochrome P450 (CYP450) enzymes, specifically CYP1A2, to help lower the risk of adverse drug events and drug-drug interactions. Focus on inhibition mechanisms such as blocking active sites or reducing enzyme efficiency. Be mindful of the possibility of increased side effects due to elevated drug levels. Is this molecule effective for the assay?",train,,,,,
6,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.591956395,"Look for molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP1A2, to help prevent adverse drug reactions and drug interactions caused by CYP450-mediated metabolism. Consider various inhibition mechanisms, including active site blocking or enzyme activity reduction, while keeping in mind the potential for side effects due to elevated drug concentrations. Does this molecule exhibit effectiveness in this assay?",train,,,,,
7,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.427520423,"Investigate molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP1A2, to reduce the risk of adverse drug events and interactions. Consider inhibition methods like occupying enzyme active sites or decreasing enzyme activity, while factoring in the possibility of side effects caused by elevated blood drug levels. Is this molecule effective in this assay?",train,,,,,
8,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.506544683,"Identify molecules that are capable of inhibiting Cytochrome P450 (CYP450) enzymes, with a focus on CYP1A2, to reduce adverse drug events and drug-drug interactions. Focus on inhibition mechanisms like blocking active sites or reducing enzyme function, while being cautious of the potential for side effects due to elevated drug concentrations. Does this molecule perform well in this assay?",train,,,,,
9,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.554106641,"Find molecules that can effectively inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP1A2, to prevent adverse drug reactions and drug interactions. Consider inhibition strategies such as binding to active sites or reducing enzyme activity. Keep in mind the risk of increased side effects due to higher drug concentrations. How effective is this molecule in the assay?",train,0.732776806,,,,
