,dataset,split,model_name_or_path,train_roc,val_roc,test_roc,prompt
0,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.6943292519145982,"Identify molecules capable of inhibiting Cytochrome P450 (CYP450) enzymes, especially CYP1A2, to mitigate the risk of adverse drug reactions and interactions caused by CYP450-mediated metabolism. Focus on potential inhibition mechanisms like blocking active sites or reducing enzyme activity. Also, consider the potential for heightened side effects due to elevated drug levels in the bloodstream.",train
1,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.6579453365041306,"Search for compounds that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP1A2, in order to minimize adverse drug events and drug interactions resulting from CYP450-mediated metabolism. Investigate the mechanisms of inhibition such as occupying enzyme active sites or diminishing enzyme function. Be mindful of the risk of increased side effects due to elevated drug concentrations.",train
2,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.4489953682776151,"Determine which molecules are effective at inhibiting Cytochrome P450 (CYP450) enzymes, with a specific focus on CYP1A2, to reduce the occurrence of adverse drug reactions and interactions. Examine inhibition mechanisms such as blocking active sites or suppressing enzyme activity. Keep in mind that elevated drug levels could lead to increased side effects.",train
3,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.7582529169369051,"Investigate molecules that can inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP1A2, to lower the risk of negative drug interactions and adverse reactions caused by CYP450-driven metabolism. Consider inhibition mechanisms like occupying active sites or suppressing enzyme activity, while being cautious of potential side effects from higher blood concentrations of the drug.",train
4,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.6612684499125411,"Identify compounds capable of inhibiting Cytochrome P450 (CYP450) enzymes, especially CYP1A2, in order to minimize adverse drug interactions and reduce the risk of harmful side effects linked to CYP450 metabolism. Investigate mechanisms such as active site binding or reducing enzyme function, while being aware of the potential for increased side effects due to higher drug concentrations.",train
5,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.6946371599090689,"Search for molecules that can inhibit Cytochrome P450 (CYP450) enzymes, specifically CYP1A2, to help lower the risk of adverse drug events and drug-drug interactions. Focus on inhibition mechanisms such as blocking active sites or reducing enzyme efficiency. Be mindful of the possibility of increased side effects due to elevated drug levels.",train
6,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.6542176844008569,"Look for molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP1A2, to help prevent adverse drug reactions and drug interactions caused by CYP450-mediated metabolism. Consider various inhibition mechanisms, including active site blocking or enzyme activity reduction, while keeping in mind the potential for side effects due to elevated drug concentrations.",train
7,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.6133297956670138,"Investigate molecules that inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP1A2, to reduce the risk of adverse drug events and interactions. Consider inhibition methods like occupying enzyme active sites or decreasing enzyme activity, while factoring in the possibility of side effects caused by elevated blood drug levels.",train
8,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.6385454950439915,"Identify molecules that are capable of inhibiting Cytochrome P450 (CYP450) enzymes, with a focus on CYP1A2, to reduce adverse drug events and drug-drug interactions. Focus on inhibition mechanisms like blocking active sites or reducing enzyme function, while being cautious of the potential for side effects due to elevated drug concentrations.",train
9,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.7146986759956238,"Find molecules that can effectively inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP1A2, to prevent adverse drug reactions and drug interactions. Consider inhibition strategies such as binding to active sites or reducing enzyme activity. Keep in mind the risk of increased side effects due to higher drug concentrations.",train
10,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.5974733046084676,"Identify molecules that inhibit Cytochrome P450 (CYP450) enzymes, specifically CYP2C9, to lower the risk of negative drug reactions and interactions caused by CYP450-mediated metabolism. Examine inhibition methods such as blocking active sites or reducing enzyme activity, while accounting for the increased likelihood of side effects due to higher drug concentrations in the bloodstream.",train
11,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.4866230329711502,"Search for compounds that effectively inhibit Cytochrome P450 (CYP450) enzymes, particularly CYP2C9, to minimize the risk of harmful drug events and interactions. Explore mechanisms like occupying enzyme active sites or reducing enzyme functionality, while considering the possibility of heightened side effects due to elevated drug levels.",train
12,cyp450,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.5678420054327463,"Investigate molecules that can inhibit the activity of Cytochrome P450 (CYP450) enzymes, particularly CYP2C9, to decrease the chance of adverse drug reactions and harmful interactions. Focus on strategies like blocking enzyme active sites or reducing enzyme activity, while keeping in mind the potential for increased side effects due to elevated drug levels in the blood.",train
