,dataset,split,model_name_or_path,train_roc,val_roc,test_roc,prompt
0,duxing,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.3119658119658119,"Neonicotinoid pesticides are widely used insecticides that act on the central nervous system of insects by binding to nicotinic acetylcholine receptors (nAChRs), causing overstimulation and paralysis. These compounds are systemic, often present in pollen and nectar, posing risks to pollinators such as honey bees (Apis mellifera). Laboratory assays assess whether a molecule exhibits acute toxicity to bees, often using LD₅₀ thresholds. Is this molecule acutely toxic to honey bees?",train
1,duxing,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.3119658119658119,"Neonicotinoid pesticides are widely used insecticides that act on the central nervous system of insects by binding to nicotinic acetylcholine receptors (nAChRs), causing overstimulation and paralysis. These compounds are systemic, often present in pollen and nectar, posing risks to pollinators such as honey bees (Apis mellifera). Laboratory assays assess whether a molecule exhibits acute toxicity to bees, often using LD₅₀ thresholds. Is this molecule acutely toxic to honey bees?",train
2,duxing,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.3937728937728938,"Neonicotinoid insecticides bind to insect nAChRs, disrupting neural activity and causing overstimulation. Their systemic nature means they appear in floral resources, threatening pollinators such as Apis mellifera. Has this compound been shown to be acutely toxic to honey bees in laboratory LD₅₀ testing?",train
3,duxing,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.4065934065934066,"These widely-used neonicotinoids affect insects’ nervous systems via nicotinic acetylcholine receptors, resulting in paralysis. As systemic pesticides, they contaminate pollen and nectar, raising concerns for honey bee health. Does this molecule meet the criteria for acute toxicity in bees?",train
4,duxing,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.5097680097680097,"By binding to nicotinic acetylcholine receptors, neonicotinoids cause neural overstimulation and paralysis in insects. Their systemic properties lead to exposure in bee-consumed substances like nectar. Is there evidence from LD₅₀ studies that this compound is acutely toxic to honey bees?",train
5,duxing,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.3083028083028083,"Neonicotinoids, acting on insect nAChRs, lead to nervous system failure and death. Because they're systemic, they can be present in nectar and pollen, potentially harming honey bees. According to acute toxicity assays (e.g., LD₅₀), is this molecule dangerous to Apis mellifera?",train
6,duxing,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.4181929181929182,"Systemic neonicotinoids interfere with insect nerve function by binding to nAChRs, leading to overstimulation and death. These chemicals often end up in nectar and pollen, affecting bees. Based on acute LD₅₀ results, is this substance toxic to honey bees?",train
7,duxing,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.4065934065934066,"Neonicotinoids are commonly applied insecticides that work by disrupting insect neurotransmission via nicotinic receptors, causing paralysis. Since they persist in pollen and nectar, they may endanger honey bees. Do LD₅₀ data indicate this molecule is acutely toxic to bees?",train
8,duxing,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.3724053724053724,"Neonicotinoids impact insect nervous systems via nAChR binding, causing lethal overstimulation. Due to their systemic nature, they appear in pollen and nectar, posing threats to bees. Does this chemical demonstrate acute toxicity to Apis mellifera under lab conditions?",train
9,duxing,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.3119658119658119,"Neonicotinoid pesticides are widely used insecticides that act on the central nervous system of insects by binding to nicotinic acetylcholine receptors (nAChRs), causing overstimulation and paralysis. These compounds are systemic, often present in pollen and nectar, posing risks to pollinators such as honey bees (Apis mellifera). Laboratory assays assess whether a molecule exhibits acute toxicity to bees, often using LD₅₀ thresholds. Is this molecule acutely toxic to honey bees?",train
