,dataset,split,model_name_or_path,train_roc,val_roc,test_roc,prompt,,,
0,muv,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.647289098,"The nuclear receptor SF-1 (steroidogenic factor-1) belongs to the class of unexplored orphan nuclear receptors that have been poorly investigated at a pharmacological level. SF-1 is expressed in the pituitary, testes, ovaries, and adrenal gland and regulates steroid hormone production at many levels, including direct regulation of expression of major P450 enzymes involved in steroid hormone synthesis. Is this molecule inhibitor of SF-1?",train,,,
1,muv,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.655901351,"The nuclear receptor SF-1 (steroidogenic factor-1) belongs to the class of unexplored orphan nuclear receptors that have been poorly investigated at a pharmacological level. SF-1 is expressed in the pituitary, testes, ovaries, and adrenal gland and regulates steroid hormone production at many levels, including direct regulation of expression of major P450 enzymes involved in steroid hormone synthesis. Can this molecule inhibite SF-1?",train,,,
2,muv,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.642004306,"The nuclear receptor SF-1 (steroidogenic factor-1) belongs to the class of unexplored orphan nuclear receptors that have been poorly investigated at a pharmacological level. SF-1 is expressed in the pituitary, testes, ovaries, and adrenal gland and regulates steroid hormone production at many levels, including direct regulation of expression of major P450 enzymes involved in steroid hormone synthesis. Is this molecule effective to SF-1?",train,,,
3,muv,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.668721863,"The nuclear receptor SF-1 (steroidogenic factor-1) belongs to the class of unexplored orphan nuclear receptors that have been poorly investigated at a pharmacological level. SF-1 is expressed in the pituitary, testes, ovaries, and adrenal gland and regulates steroid hormone production at many levels, including direct regulation of expression of major P450 enzymes involved in steroid hormone synthesis. Is this molecule effective to this assay?",train,,,
4,muv,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.54903717,"Rho-Kinase (Rock2) is a serine/threonine kinase involved in the regulation of smooth muscle contraction and cytoskeletal reorganization of nonmuscle cells. Its inhibition is known to promote the smooth muscle relaxation. Thus, small-molecule inhibitors of Rho-Kinase may be effective probes for treatment of cerebral vasospasm and potentially effective for treatment of angina, hypertension, arteriosclerosis, and erectile dysfunction. Is this molecule inhibitor of Rock2?",train,,,
5,muv,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.544827586,"Rho-Kinase (Rock2) is a serine/threonine kinase involved in the regulation of smooth muscle contraction and cytoskeletal reorganization of nonmuscle cells. Its inhibition is known to promote the smooth muscle relaxation. Thus, small-molecule inhibitors of Rho-Kinase may be effective probes for treatment of cerebral vasospasm and potentially effective for treatment of angina, hypertension, arteriosclerosis, and erectile dysfunction. Can this molecule inhibite Rock2?",train,0.668721863,0.668721863,
6,muv,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.542140618,"Rho-Kinase (Rock2) is a serine/threonine kinase involved in the regulation of smooth muscle contraction and cytoskeletal reorganization of nonmuscle cells. Its inhibition is known to promote the smooth muscle relaxation. Thus, small-molecule inhibitors of Rho-Kinase may be effective probes for treatment of cerebral vasospasm and potentially effective for treatment of angina, hypertension, arteriosclerosis, and erectile dysfunction. Is this molecule effective to Rock2?",train,,,
7,muv,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.640125392,"Rho-Kinase (Rock2) is a serine/threonine kinase involved in the regulation of smooth muscle contraction and cytoskeletal reorganization of nonmuscle cells. Its inhibition is known to promote the smooth muscle relaxation. Thus, small-molecule inhibitors of Rho-Kinase may be effective probes for treatment of cerebral vasospasm and potentially effective for treatment of angina, hypertension, arteriosclerosis, and erectile dysfunction. Is this molecule effective to this assay?",train,0.640125392,0.640125392,
8,muv,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.526775956,"HIV-1 RT is a multifunctional enzyme that has RNA and DNA dependent polymerase activity, along with ribonuclease H (RNase H) activity. The latter is responsible for degradation of the viral genomic RNA template during first strand DNA synthesis to allow completion of reverse transcription and the viral dsDNA. Is this molecule inhibitor of HIV-1 RT RNase H?",train,,,
9,muv,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.519125683,"HIV-1 RT is a multifunctional enzyme that has RNA and DNA dependent polymerase activity, along with ribonuclease H (RNase H) activity. The latter is responsible for degradation of the viral genomic RNA template during first strand DNA synthesis to allow completion of reverse transcription and the viral dsDNA. Is this molecule effective to HIV-1 RT RNase H?",train,0.866114562,0.866114562,
