,dataset,split,model_name_or_path,train_roc,val_roc,test_roc,prompt,,,
0,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.572747415,"Estrogen receptor alpha (ER alpha) is a Nuclear hormone receptor. The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Ligand-dependent nuclear transactivation involves either direct homodimer binding to a palindromic estrogen response element (ERE) sequence or association with other DNA-binding transcription factors, such as AP-1/c-Jun, c-Fos, ATF-2, Sp1 and Sp3, to mediate ERE-independent signaling. Is this molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway?",train,,,
1,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.582210118,"Estrogen receptor alpha (ER alpha) is a Nuclear hormone receptor. The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Ligand-dependent nuclear transactivation involves either direct homodimer binding to a palindromic estrogen response element (ERE) sequence or association with other DNA-binding transcription factors, such as AP-1/c-Jun, c-Fos, ATF-2, Sp1 and Sp3, to mediate ERE-independent signaling. Is this molecule toxic to the estrogen receptor alpha (ER-alpha) signaling pathway?",train,,,
2,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.63967873,"Estrogen receptor alpha (ER alpha) is a Nuclear hormone receptor. The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Ligand-dependent nuclear transactivation involves either direct homodimer binding to a palindromic estrogen response element (ERE) sequence or association with other DNA-binding transcription factors, such as AP-1/c-Jun, c-Fos, ATF-2, Sp1 and Sp3, to mediate ERE-independent signaling. Is this molecule effective to this assay?",train,,,
3,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.557976366,"ER alpha is a nuclear hormone receptor that participates in regulating gene expression and affecting cellular proliferation and differentiation in target tissues. Ligand-dependent nuclear transactivation can happen through direct homodimer binding to an ERE sequence or association with other DNA-binding transcription factors like AP-1/c-Jun, c-Fos, ATF-2, Sp1, and Sp3, leading to ERE-independent signaling. Does this molecule activate the signaling pathway of the estrogen receptor alpha (ER-alpha)?",train,,,
4,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.491137371,"ER alpha is a nuclear hormone receptor that participates in regulating gene expression and influencing cellular proliferation and differentiation in target tissues along with steroid hormones and their receptors. Ligand-dependent nuclear transactivation is carried out through direct homodimer binding to a palindromic estrogen response element (ERE) sequence or association with other DNA-binding transcription factors, like AP-1/c-Jun, c-Fos, ATF-2, Sp1 and Sp3, to mediate ERE-independent signaling. Does this molecule have the potential to harm the signaling pathway of estrogen receptor alpha (ER-alpha)?",train,,,
5,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.632108567,"ER alpha is a type of nuclear hormone receptor that plays a role in regulating gene expression and affecting cell growth and specialization in specific tissues. Its activation through ligand-dependent nuclear transactivation can occur either through direct binding to an estrogen response element or by partnering with other DNA-binding proteins like AP-1/c-Jun, c-Fos, ATF-2, Sp1, and Sp3 to produce ERE-independent signaling. Can this assay be effectively performed by this molecule?",train,,,
6,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.598504431,"Using the provided molecular data, estimate the interaction of this molecule with estrogen receptor alpha (ER-alpha) signaling. Provide the most accurate assessment of its effect on the pathway.",train,,,
7,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.589226366,Assess whether this molecule acts as an agonist or antagonist of the estrogen receptor alpha (ER-alpha) signaling pathway based on its chemical properties.,train,,,
8,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.557560931,Predict whether this molecule could enhance or inhibit the estrogen receptor alpha (ER-alpha) signaling pathway by considering its molecular structure and interactions.,train,,,
9,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.559130355,"Estimate the likelihood that this molecule affects the estrogen receptor alpha (ER-alpha) signaling pathway, focusing on its chemical properties and known mechanisms of action.",train,0.63967873,,
10,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.656497865,"Estrogen receptor alpha (ER alpha) is a nuclear hormone receptor involved in regulating gene expression and affecting cellular proliferation and differentiation in target tissues. Ligand-dependent nuclear transactivation occurs through either homodimer binding to an estrogen response element (ERE) sequence or interaction with other DNA-binding transcription factors like AP-1/c-Jun, c-Fos, ATF-2, Sp1, and Sp3. Does this molecule activate the estrogen receptor alpha (ER-alpha) signaling pathway?",train,,,
11,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.518837706,Estrogen receptor alpha (ER alpha) is a nuclear hormone receptor that influences gene expression and cellular processes in target tissues. Its activation involves homodimer binding to ERE sequences or interaction with other transcription factors. Does this molecule disrupt the estrogen receptor alpha (ER-alpha) signaling pathway?,train,,,
12,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.544234289,Estrogen receptor alpha (ER alpha) is a nuclear hormone receptor that plays a critical role in regulating gene expression and cellular differentiation in response to steroid hormones. Does this molecule act as an agonist for the estrogen receptor alpha (ER-alpha) signaling pathway?,train,,,
13,tox21,ckpts/gimlet_fp3modalnew/checkpoint-10000,0,0,0.619432581,"Estrogen receptor alpha (ER alpha) is a key nuclear hormone receptor that regulates gene expression and cellular proliferation in target tissues. Through ligand-dependent nuclear transactivation, it can bind to ERE sequences or interact with transcription factors like AP-1/c-Jun and c-Fos. Does this molecule inhibit the estrogen receptor alpha (ER-alpha) signaling pathway?",train,,,0.6393
